# iteration, cost_adam
0.000000000000000000e+00,6.936676278997724321e-01
0.000000000000000000e+00,6.926145985339119404e-01
0.000000000000000000e+00,6.909622155194876658e-01
0.000000000000000000e+00,6.883596946868663080e-01
0.000000000000000000e+00,6.870062752259207262e-01
0.000000000000000000e+00,6.806750533907151013e-01
0.000000000000000000e+00,6.651785216969426928e-01
0.000000000000000000e+00,6.593785654070297708e-01
0.000000000000000000e+00,6.340073491753130952e-01
0.000000000000000000e+00,6.018775132890331614e-01
0.000000000000000000e+00,5.666705923904984399e-01
0.000000000000000000e+00,5.241563889219719163e-01
0.000000000000000000e+00,4.916318928756429618e-01
0.000000000000000000e+00,4.356317180199580363e-01
0.000000000000000000e+00,3.925834808548918087e-01
0.000000000000000000e+00,2.883828528948501613e-01
0.000000000000000000e+00,3.794952761449308376e-01
0.000000000000000000e+00,4.393229518456464033e-01
5.000000000000000000e+02,1.497233861509334185e-01
5.000000000000000000e+02,1.850421858287032428e-01
5.000000000000000000e+02,1.625003172758799352e-01
5.000000000000000000e+02,1.577278515318853436e-01
5.000000000000000000e+02,1.627828195981509962e-01
5.000000000000000000e+02,1.961083470099038162e-01
5.000000000000000000e+02,1.364006889962599556e-01
5.000000000000000000e+02,1.871524010174942798e-01
5.000000000000000000e+02,1.327792419349445030e-01
5.000000000000000000e+02,1.175327387534446377e-01
5.000000000000000000e+02,1.310595713539597917e-01
5.000000000000000000e+02,1.769153121921543670e-01
5.000000000000000000e+02,1.690084148753524806e-01
5.000000000000000000e+02,1.760198578259641045e-01
5.000000000000000000e+02,1.610035208713264943e-01
5.000000000000000000e+02,1.155005336808515859e-01
5.000000000000000000e+02,1.914784825131896351e-01
5.000000000000000000e+02,2.434544651349132283e-01
1.000000000000000000e+03,1.425191626384588739e-01
1.000000000000000000e+03,1.705033371671418330e-01
1.000000000000000000e+03,1.536733505899980090e-01
1.000000000000000000e+03,1.565062618452285892e-01
1.000000000000000000e+03,1.575905882493886245e-01
1.000000000000000000e+03,1.789995113818129424e-01
1.000000000000000000e+03,1.307477532382926300e-01
1.000000000000000000e+03,1.805275160009320035e-01
1.000000000000000000e+03,1.200266064453504311e-01
1.000000000000000000e+03,1.122132060566666673e-01
1.000000000000000000e+03,1.280365944264681144e-01
1.000000000000000000e+03,1.735519894417114906e-01
1.000000000000000000e+03,1.576492441294976843e-01
1.000000000000000000e+03,1.674518516988287575e-01
1.000000000000000000e+03,1.570978463217075349e-01
1.000000000000000000e+03,1.134082234179618620e-01
1.000000000000000000e+03,1.839518257559698555e-01
1.000000000000000000e+03,2.450262042146171548e-01
1.500000000000000000e+03,1.398218189555310298e-01
1.500000000000000000e+03,1.666477437040279619e-01
1.500000000000000000e+03,1.507953094210854050e-01
1.500000000000000000e+03,1.546212261216391715e-01
1.500000000000000000e+03,1.551250497559163721e-01
1.500000000000000000e+03,1.756146200342028618e-01
1.500000000000000000e+03,1.294872586041744822e-01
1.500000000000000000e+03,1.776705999421395177e-01
1.500000000000000000e+03,1.170941281417847146e-01
1.500000000000000000e+03,1.108898249457960783e-01
1.500000000000000000e+03,1.274329643522878475e-01
1.500000000000000000e+03,1.718620596649458321e-01
1.500000000000000000e+03,1.531653167933248461e-01
1.500000000000000000e+03,1.640799793268632734e-01
1.500000000000000000e+03,1.553912489898682803e-01
1.500000000000000000e+03,1.133971521371861524e-01
1.500000000000000000e+03,1.812001918629533304e-01
1.500000000000000000e+03,2.456833383213506417e-01
2.000000000000000000e+03,1.385615284228134403e-01
2.000000000000000000e+03,1.642011292016330171e-01
2.000000000000000000e+03,1.496103409955605867e-01
2.000000000000000000e+03,1.533099766686408238e-01
2.000000000000000000e+03,1.535304704082537663e-01
2.000000000000000000e+03,1.733473001788341517e-01
2.000000000000000000e+03,1.289665093742234925e-01
2.000000000000000000e+03,1.760702366665148066e-01
2.000000000000000000e+03,1.159613630939081569e-01
2.000000000000000000e+03,1.101437480438264005e-01
2.000000000000000000e+03,1.270005796980354373e-01
2.000000000000000000e+03,1.713812949361117610e-01
2.000000000000000000e+03,1.508826407914896639e-01
2.000000000000000000e+03,1.620783320697309626e-01
2.000000000000000000e+03,1.541525515942612223e-01
2.000000000000000000e+03,1.133498513048393774e-01
2.000000000000000000e+03,1.801169262952805883e-01
2.000000000000000000e+03,2.462860438450545364e-01
2.500000000000000000e+03,1.374595514586193223e-01
2.500000000000000000e+03,1.624088869446794203e-01
2.500000000000000000e+03,1.484485030588682808e-01
2.500000000000000000e+03,1.527374492648864712e-01
2.500000000000000000e+03,1.521991157121154181e-01
2.500000000000000000e+03,1.712705590114672050e-01
2.500000000000000000e+03,1.286471690356437714e-01
2.500000000000000000e+03,1.748700526461971216e-01
2.500000000000000000e+03,1.150550754234838241e-01
2.500000000000000000e+03,1.098329508698827062e-01
2.500000000000000000e+03,1.266012297154228416e-01
2.500000000000000000e+03,1.711798126137731024e-01
2.500000000000000000e+03,1.495779471640883429e-01
2.500000000000000000e+03,1.608212599112843755e-01
2.500000000000000000e+03,1.536364732031142155e-01
2.500000000000000000e+03,1.134110962528812744e-01
2.500000000000000000e+03,1.796115246384245023e-01
2.500000000000000000e+03,2.464505675182644406e-01
3.000000000000000000e+03,1.366318604066568687e-01
3.000000000000000000e+03,1.609727156086467326e-01
3.000000000000000000e+03,1.476759432691787111e-01
3.000000000000000000e+03,1.522166186212547123e-01
3.000000000000000000e+03,1.513960371682837036e-01
3.000000000000000000e+03,1.699524674342551001e-01
3.000000000000000000e+03,1.282392797078687752e-01
3.000000000000000000e+03,1.741187987135001114e-01
3.000000000000000000e+03,1.145621105481103574e-01
3.000000000000000000e+03,1.096569326064580213e-01
3.000000000000000000e+03,1.262253942274768892e-01
3.000000000000000000e+03,1.709394381348757208e-01
3.000000000000000000e+03,1.486862255538867195e-01
3.000000000000000000e+03,1.596818827400464103e-01
3.000000000000000000e+03,1.531370395157917175e-01
3.000000000000000000e+03,1.133072968615101983e-01
3.000000000000000000e+03,1.790854131699003982e-01
3.000000000000000000e+03,2.467624948710376298e-01
3.500000000000000000e+03,1.357507922111717280e-01
3.500000000000000000e+03,1.591110134307056612e-01
3.500000000000000000e+03,1.469973110918015857e-01
3.500000000000000000e+03,1.519212565251953917e-01
3.500000000000000000e+03,1.507412622370702393e-01
3.500000000000000000e+03,1.691270635477954698e-01
3.500000000000000000e+03,1.280696107165862907e-01
3.500000000000000000e+03,1.735200688684337411e-01
3.500000000000000000e+03,1.143155078834602045e-01
3.500000000000000000e+03,1.096517428333702859e-01
3.500000000000000000e+03,1.258957293367431451e-01
3.500000000000000000e+03,1.707032780814632944e-01
3.500000000000000000e+03,1.480506893106103838e-01
3.500000000000000000e+03,1.586167088837601991e-01
3.500000000000000000e+03,1.528341173114082241e-01
3.500000000000000000e+03,1.131547601573513057e-01
3.500000000000000000e+03,1.785378729143924370e-01
3.500000000000000000e+03,2.467506046581819934e-01
4.000000000000000000e+03,1.351965598977671046e-01
4.000000000000000000e+03,1.578989430469893152e-01
4.000000000000000000e+03,1.466607939569626873e-01
4.000000000000000000e+03,1.516951378416626084e-01
4.000000000000000000e+03,1.503692419278631343e-01
4.000000000000000000e+03,1.684940385848947564e-01
4.000000000000000000e+03,1.278874849768094901e-01
4.000000000000000000e+03,1.728688850035501323e-01
4.000000000000000000e+03,1.140567658734757128e-01
4.000000000000000000e+03,1.100502352285702007e-01
4.000000000000000000e+03,1.256070432761862976e-01
4.000000000000000000e+03,1.711137041692468719e-01
4.000000000000000000e+03,1.476631324923576849e-01
4.000000000000000000e+03,1.579086722607790927e-01
4.000000000000000000e+03,1.514399142051117975e-01
4.000000000000000000e+03,1.128131605838032792e-01
4.000000000000000000e+03,1.773238863742710447e-01
4.000000000000000000e+03,2.467382614721777279e-01
4.500000000000000000e+03,1.346094118180936605e-01
4.500000000000000000e+03,1.568841896464868990e-01
4.500000000000000000e+03,1.464963891078306935e-01
4.500000000000000000e+03,1.510884807247744599e-01
4.500000000000000000e+03,1.500333388785007049e-01
4.500000000000000000e+03,1.679251538131241173e-01
4.500000000000000000e+03,1.279627175861836885e-01
4.500000000000000000e+03,1.722466110366274450e-01
4.500000000000000000e+03,1.135879741481058136e-01
4.500000000000000000e+03,1.101214943279001934e-01
4.500000000000000000e+03,1.252293803349571188e-01
4.500000000000000000e+03,1.714887183767073719e-01
4.500000000000000000e+03,1.472781012938561840e-01
4.500000000000000000e+03,1.572902756684697867e-01
4.500000000000000000e+03,1.503784399036796893e-01
4.500000000000000000e+03,1.123366843484010780e-01
4.500000000000000000e+03,1.764801277022468029e-01
4.500000000000000000e+03,2.466330623290971802e-01
5.000000000000000000e+03,1.341257529472091869e-01
5.000000000000000000e+03,1.560249281800496213e-01
5.000000000000000000e+03,1.463168112173488800e-01
5.000000000000000000e+03,1.507104589127583327e-01
5.000000000000000000e+03,1.497592104320965567e-01
5.000000000000000000e+03,1.673265004240428733e-01
5.000000000000000000e+03,1.279844780082497468e-01
5.000000000000000000e+03,1.717900287849935537e-01
5.000000000000000000e+03,1.132712209356334654e-01
5.000000000000000000e+03,1.101298067192888197e-01
5.000000000000000000e+03,1.248889886547501632e-01
5.000000000000000000e+03,1.716040329994924230e-01
5.000000000000000000e+03,1.468452596159304790e-01
5.000000000000000000e+03,1.567644952932354951e-01
5.000000000000000000e+03,1.497724600733687239e-01
5.000000000000000000e+03,1.121018481431661773e-01
5.000000000000000000e+03,1.759649890965445385e-01
5.000000000000000000e+03,2.465024931842301203e-01
5.500000000000000000e+03,1.335764459146840666e-01
5.500000000000000000e+03,1.555261288742361137e-01
5.500000000000000000e+03,1.462432665482060468e-01
5.500000000000000000e+03,1.504306424705588174e-01
5.500000000000000000e+03,1.494362862530634328e-01
5.500000000000000000e+03,1.669076967232428210e-01
5.500000000000000000e+03,1.278498008970401500e-01
5.500000000000000000e+03,1.714945202582227601e-01
5.500000000000000000e+03,1.128474095805908073e-01
5.500000000000000000e+03,1.101668413455691442e-01
5.500000000000000000e+03,1.246293966363274108e-01
5.500000000000000000e+03,1.717896280331649983e-01
5.500000000000000000e+03,1.463579612494600168e-01
5.500000000000000000e+03,1.563830757887690881e-01
5.500000000000000000e+03,1.483526791112346754e-01
5.500000000000000000e+03,1.118853044521844475e-01
5.500000000000000000e+03,1.757220192228143296e-01
5.500000000000000000e+03,2.462314500467935319e-01
6.000000000000000000e+03,1.331910778714003318e-01
6.000000000000000000e+03,1.550809282653786147e-01
6.000000000000000000e+03,1.463221728281056122e-01
6.000000000000000000e+03,1.501152045932143131e-01
6.000000000000000000e+03,1.486174588467609192e-01
6.000000000000000000e+03,1.667488628574163023e-01
6.000000000000000000e+03,1.280333139427835831e-01
6.000000000000000000e+03,1.714004552850333929e-01
6.000000000000000000e+03,1.124825919066321789e-01
6.000000000000000000e+03,1.101514404657330526e-01
6.000000000000000000e+03,1.243604067710585986e-01
6.000000000000000000e+03,1.721112470278767237e-01
6.000000000000000000e+03,1.459890190009113242e-01
6.000000000000000000e+03,1.560742484492087523e-01
6.000000000000000000e+03,1.458333211816522368e-01
6.000000000000000000e+03,1.116568763129971442e-01
6.000000000000000000e+03,1.753136842322139954e-01
6.000000000000000000e+03,2.460572183017234738e-01
6.500000000000000000e+03,1.328786227872191250e-01
6.500000000000000000e+03,1.545724250535772670e-01
6.500000000000000000e+03,1.463249995090830369e-01
6.500000000000000000e+03,1.498699000561612427e-01
6.500000000000000000e+03,1.478987755045190478e-01
6.500000000000000000e+03,1.663608658606448298e-01
6.500000000000000000e+03,1.280228414090774924e-01
6.500000000000000000e+03,1.711734226166556350e-01
6.500000000000000000e+03,1.123359458765845476e-01
6.500000000000000000e+03,1.100865628494405030e-01
6.500000000000000000e+03,1.240890229859581417e-01
6.500000000000000000e+03,1.722592373636828433e-01
6.500000000000000000e+03,1.456892725460607607e-01
6.500000000000000000e+03,1.557796390713374057e-01
6.500000000000000000e+03,1.446580801709851372e-01
6.500000000000000000e+03,1.115280826265810099e-01
6.500000000000000000e+03,1.749752784204969269e-01
6.500000000000000000e+03,2.461363906392136092e-01
7.000000000000000000e+03,1.325919363939769835e-01
7.000000000000000000e+03,1.540304984811747269e-01
7.000000000000000000e+03,1.462756514020545073e-01
7.000000000000000000e+03,1.496549157207087977e-01
7.000000000000000000e+03,1.473015944083759243e-01
7.000000000000000000e+03,1.659476151909788089e-01
7.000000000000000000e+03,1.280517889409085730e-01
7.000000000000000000e+03,1.709146993142687809e-01
7.000000000000000000e+03,1.121953135543880820e-01
7.000000000000000000e+03,1.100495657887567841e-01
7.000000000000000000e+03,1.238761482437730210e-01
7.000000000000000000e+03,1.723577099140666535e-01
7.000000000000000000e+03,1.453789482039137826e-01
7.000000000000000000e+03,1.554497800662814622e-01
7.000000000000000000e+03,1.439515705179431615e-01
7.000000000000000000e+03,1.114306879800012612e-01
7.000000000000000000e+03,1.747463702958388931e-01
7.000000000000000000e+03,2.461704769380306523e-01
7.500000000000000000e+03,1.323419357422724318e-01
7.500000000000000000e+03,1.536373709721494674e-01
7.500000000000000000e+03,1.462252766712740515e-01
7.500000000000000000e+03,1.495510434606601990e-01
7.500000000000000000e+03,1.468950426518792762e-01
7.500000000000000000e+03,1.655681693298524104e-01
7.500000000000000000e+03,1.280383977817617924e-01
7.500000000000000000e+03,1.705848216950488494e-01
7.500000000000000000e+03,1.120718478267717644e-01
7.500000000000000000e+03,1.099750858306690338e-01
7.500000000000000000e+03,1.237408708604347818e-01
7.500000000000000000e+03,1.723708837200535193e-01
7.500000000000000000e+03,1.451936509406375475e-01
7.500000000000000000e+03,1.551423455629146186e-01
7.500000000000000000e+03,1.434269711543175729e-01
7.500000000000000000e+03,1.113373293464021002e-01
7.500000000000000000e+03,1.746310646108431286e-01
7.500000000000000000e+03,2.462360570169938034e-01
8.000000000000000000e+03,1.321339283005862897e-01
8.000000000000000000e+03,1.532605711557449291e-01
8.000000000000000000e+03,1.461148689195431172e-01
