# iteration, cost_rmsprop
0.000000000000000000e+00,6.936676278997724321e-01
0.000000000000000000e+00,6.906839870628094236e-01
0.000000000000000000e+00,6.876445046523652627e-01
0.000000000000000000e+00,6.831796394317283250e-01
0.000000000000000000e+00,6.813206939764624437e-01
0.000000000000000000e+00,6.711239656660443753e-01
0.000000000000000000e+00,6.418279452276851593e-01
0.000000000000000000e+00,6.258912809141157219e-01
0.000000000000000000e+00,5.832571999408182606e-01
0.000000000000000000e+00,5.297705653477161603e-01
0.000000000000000000e+00,4.900915580620093248e-01
0.000000000000000000e+00,4.593415961569086714e-01
0.000000000000000000e+00,4.615535390139681171e-01
0.000000000000000000e+00,4.198680271015959309e-01
0.000000000000000000e+00,3.798665944732341759e-01
0.000000000000000000e+00,2.972595607737369416e-01
0.000000000000000000e+00,3.638018576204188337e-01
0.000000000000000000e+00,4.048259382664390893e-01
5.000000000000000000e+02,1.697983603517725648e-01
5.000000000000000000e+02,2.527631572878999977e-01
5.000000000000000000e+02,1.949401483411016822e-01
5.000000000000000000e+02,1.832985613953748705e-01
5.000000000000000000e+02,2.143125443714886946e-01
5.000000000000000000e+02,2.488480647431274007e-01
5.000000000000000000e+02,1.752485740533316350e-01
5.000000000000000000e+02,2.045998700993699182e-01
5.000000000000000000e+02,1.580745927186281152e-01
5.000000000000000000e+02,1.279987715028861883e-01
5.000000000000000000e+02,1.647273021284734740e-01
5.000000000000000000e+02,2.029663642120728417e-01
5.000000000000000000e+02,2.377046880839367160e-01
5.000000000000000000e+02,2.111443741536648822e-01
5.000000000000000000e+02,1.876847193597259988e-01
5.000000000000000000e+02,1.334011531441023080e-01
5.000000000000000000e+02,2.270272179331668527e-01
5.000000000000000000e+02,2.380188593681924480e-01
1.000000000000000000e+03,1.668028266989895758e-01
1.000000000000000000e+03,2.429955274441263080e-01
1.000000000000000000e+03,1.892323548842857472e-01
1.000000000000000000e+03,1.791427174882779527e-01
1.000000000000000000e+03,2.074480636634776498e-01
1.000000000000000000e+03,2.453552646743952792e-01
1.000000000000000000e+03,1.698495601097079755e-01
1.000000000000000000e+03,1.995160141271875021e-01
1.000000000000000000e+03,1.511703154805377203e-01
1.000000000000000000e+03,1.234658759598405986e-01
1.000000000000000000e+03,1.601949035116446152e-01
1.000000000000000000e+03,1.934554578623516319e-01
1.000000000000000000e+03,2.251811112283906013e-01
1.000000000000000000e+03,2.059575586425828886e-01
1.000000000000000000e+03,1.816968681694640930e-01
1.000000000000000000e+03,1.299069995712427705e-01
1.000000000000000000e+03,2.231495924960348598e-01
1.000000000000000000e+03,2.347101300216004327e-01
1.500000000000000000e+03,1.647499101966024837e-01
1.500000000000000000e+03,2.378738589830635686e-01
1.500000000000000000e+03,1.870541455210260606e-01
1.500000000000000000e+03,1.769942233324580672e-01
1.500000000000000000e+03,2.040610265243286703e-01
1.500000000000000000e+03,2.415942166719463879e-01
1.500000000000000000e+03,1.663795044953347291e-01
1.500000000000000000e+03,1.970693125131664225e-01
1.500000000000000000e+03,1.471800028447839415e-01
1.500000000000000000e+03,1.219501567887919247e-01
1.500000000000000000e+03,1.577397069391814066e-01
1.500000000000000000e+03,1.868121298174174605e-01
1.500000000000000000e+03,2.192637617271394335e-01
1.500000000000000000e+03,2.033772905427468913e-01
1.500000000000000000e+03,1.782363867263793422e-01
1.500000000000000000e+03,1.289997705226802738e-01
1.500000000000000000e+03,2.208288747088317794e-01
1.500000000000000000e+03,2.326072246359811024e-01
2.000000000000000000e+03,1.635723194092378874e-01
2.000000000000000000e+03,2.347275045235752144e-01
