# iteration, cost_sgdm
0.000000000000000000e+00,6.936676278997724321e-01
0.000000000000000000e+00,6.935682942963221631e-01
0.000000000000000000e+00,6.933803753648172252e-01
0.000000000000000000e+00,6.930829938788203304e-01
0.000000000000000000e+00,6.929593301211760537e-01
0.000000000000000000e+00,6.924828681779064965e-01
0.000000000000000000e+00,6.915002434263196607e-01
0.000000000000000000e+00,6.914739471860769093e-01
0.000000000000000000e+00,6.906520607944403034e-01
0.000000000000000000e+00,6.901574060586802561e-01
0.000000000000000000e+00,6.888021601397088522e-01
0.000000000000000000e+00,6.891448178577646022e-01
0.000000000000000000e+00,6.872773005190970785e-01
0.000000000000000000e+00,6.858707089714932703e-01
0.000000000000000000e+00,6.850792439748407681e-01
0.000000000000000000e+00,6.804249880158778074e-01
0.000000000000000000e+00,6.804184958615303591e-01
0.000000000000000000e+00,6.836310966239742548e-01
5.000000000000000000e+02,5.722890465615786404e-01
5.000000000000000000e+02,5.778800908469994280e-01
5.000000000000000000e+02,5.796915143113324786e-01
5.000000000000000000e+02,5.764312654680057157e-01
5.000000000000000000e+02,6.318694731685375876e-01
5.000000000000000000e+02,6.109908415098957990e-01
5.000000000000000000e+02,5.552248323303201616e-01
5.000000000000000000e+02,6.085458021566153564e-01
5.000000000000000000e+02,5.919034452502358601e-01
5.000000000000000000e+02,6.012202338020073977e-01
5.000000000000000000e+02,5.782548301347081310e-01
5.000000000000000000e+02,6.182090327120887130e-01
5.000000000000000000e+02,5.918522678808637583e-01
5.000000000000000000e+02,5.801013690165721659e-01
5.000000000000000000e+02,5.874334918140067252e-01
5.000000000000000000e+02,5.210418390640281228e-01
5.000000000000000000e+02,5.480708151960428376e-01
5.000000000000000000e+02,6.072965648471903011e-01
1.000000000000000000e+03,3.592245168985387926e-01
1.000000000000000000e+03,3.983234526728565705e-01
1.000000000000000000e+03,3.634481000166926989e-01
1.000000000000000000e+03,3.727873161556827242e-01
1.000000000000000000e+03,4.158754087598175442e-01
1.000000000000000000e+03,3.926574584911806109e-01
1.000000000000000000e+03,3.562595982677103090e-01
1.000000000000000000e+03,4.083037093475800350e-01
1.000000000000000000e+03,3.650153238261642508e-01
1.000000000000000000e+03,3.314463272785350689e-01
1.000000000000000000e+03,3.403321528767823678e-01
1.000000000000000000e+03,3.515235441516674775e-01
1.000000000000000000e+03,4.064232909245790726e-01
1.000000000000000000e+03,3.826890852135843013e-01
1.000000000000000000e+03,3.740012352314278643e-01
1.000000000000000000e+03,3.149302249884868288e-01
1.000000000000000000e+03,3.519526863479429668e-01
1.000000000000000000e+03,4.171121818333322073e-01
1.500000000000000000e+03,2.904660728431793792e-01
1.500000000000000000e+03,3.484211748180358059e-01
1.500000000000000000e+03,3.058654501290686278e-01
1.500000000000000000e+03,3.190940547904528302e-01
1.500000000000000000e+03,3.672725452542744962e-01
1.500000000000000000e+03,3.442885743011496191e-01
1.500000000000000000e+03,3.124117375280590636e-01
1.500000000000000000e+03,3.487665449707113563e-01
1.500000000000000000e+03,3.124097338021094017e-01
1.500000000000000000e+03,2.649823985126292247e-01
1.500000000000000000e+03,2.901132707104326358e-01
1.500000000000000000e+03,3.054044683769835400e-01
1.500000000000000000e+03,3.639730951064745756e-01
1.500000000000000000e+03,3.321726085415795393e-01
1.500000000000000000e+03,3.090970810209115460e-01
1.500000000000000000e+03,2.465965153659575304e-01
1.500000000000000000e+03,3.020622099441008790e-01
1.500000000000000000e+03,3.516613159399344934e-01
2.000000000000000000e+03,2.624311808592732498e-01
2.000000000000000000e+03,3.361234496884846212e-01
2.000000000000000000e+03,2.867472233656962466e-01
2.000000000000000000e+03,2.974932847829596105e-01
2.000000000000000000e+03,3.487250185627747689e-01
2.000000000000000000e+03,3.296672082900526934e-01
2.000000000000000000e+03,2.971151297839539351e-01
2.000000000000000000e+03,3.242904462958933753e-01
2.000000000000000000e+03,2.892685761895757990e-01
2.000000000000000000e+03,2.427902114903673358e-01
2.000000000000000000e+03,2.746104983858257409e-01
2.000000000000000000e+03,2.918476167116140219e-01
2.000000000000000000e+03,3.521828940180517509e-01
2.000000000000000000e+03,3.134999253089829074e-01
2.000000000000000000e+03,2.808789303786302649e-01
2.000000000000000000e+03,2.216999774295390635e-01
2.000000000000000000e+03,2.845183893862845426e-01
2.000000000000000000e+03,3.230435379435733778e-01
2.500000000000000000e+03,2.489126193807826015e-01
2.500000000000000000e+03,3.311133734165249698e-01
2.500000000000000000e+03,2.788038750027079793e-01
2.500000000000000000e+03,2.862148622478578597e-01
2.500000000000000000e+03,3.376271929635561442e-01
2.500000000000000000e+03,3.217059194231196018e-01
2.500000000000000000e+03,2.877870045738628590e-01
2.500000000000000000e+03,3.104215721656816696e-01
2.500000000000000000e+03,2.754150175942225998e-01
2.500000000000000000e+03,2.318505725611359480e-01
2.500000000000000000e+03,2.663231334424017716e-01
2.500000000000000000e+03,2.845675473088384866e-01
2.500000000000000000e+03,3.466340030484657553e-01
2.500000000000000000e+03,3.026756013121417177e-01
2.500000000000000000e+03,2.664327016220833788e-01
2.500000000000000000e+03,2.102532000465559547e-01
2.500000000000000000e+03,2.765812145617156936e-01
2.500000000000000000e+03,3.096779341707232014e-01
3.000000000000000000e+03,2.406683535977008903e-01
3.000000000000000000e+03,3.252731146333292522e-01
3.000000000000000000e+03,2.750533724723023821e-01
3.000000000000000000e+03,2.784996578913309095e-01
3.000000000000000000e+03,3.281359544862393895e-01
3.000000000000000000e+03,3.160057838508204542e-01
3.000000000000000000e+03,2.807808090728519113e-01
3.000000000000000000e+03,2.995829496244943324e-01
3.000000000000000000e+03,2.646110054357936892e-01
3.000000000000000000e+03,2.252854810797106644e-01
3.000000000000000000e+03,2.606562793682679624e-01
3.000000000000000000e+03,2.790689787988306914e-01
3.000000000000000000e+03,3.433660079858995573e-01
3.000000000000000000e+03,2.932486470202334550e-01
3.000000000000000000e+03,2.577775478339974780e-01
3.000000000000000000e+03,2.040017146111087198e-01
3.000000000000000000e+03,2.730361110743279029e-01
3.000000000000000000e+03,3.030816112384004946e-01
3.500000000000000000e+03,2.357289854438521237e-01
3.500000000000000000e+03,3.212721803243384078e-01
3.500000000000000000e+03,2.727795086874944541e-01
3.500000000000000000e+03,2.735194862162615426e-01
3.500000000000000000e+03,3.221982759993068379e-01
3.500000000000000000e+03,3.128056017061116023e-01
3.500000000000000000e+03,2.759674188661969674e-01
3.500000000000000000e+03,2.924147818695919665e-01
3.500000000000000000e+03,2.575869374747100093e-01
3.500000000000000000e+03,2.208665010119219008e-01
3.500000000000000000e+03,2.567306611750463929e-01
3.500000000000000000e+03,2.757980829331156403e-01
3.500000000000000000e+03,3.416349461824808587e-01
3.500000000000000000e+03,2.871291503717885996e-01
3.500000000000000000e+03,2.532971213226356544e-01
3.500000000000000000e+03,2.002189532393824634e-01
