Neuron1,Neuron2,Mini Batch,Cost
4.000000000000000000e+00,4.000000000000000000e+00,2.560000000000000000e+02,5.178967910711677058e-01
4.000000000000000000e+00,4.000000000000000000e+00,5.120000000000000000e+02,8.470415747078844371e-01
4.000000000000000000e+00,4.000000000000000000e+00,1.024000000000000000e+03,1.115673948439422469e+00
4.000000000000000000e+00,4.000000000000000000e+00,2.048000000000000000e+03,8.354749381906176886e-01
4.000000000000000000e+00,1.500000000000000000e+01,2.560000000000000000e+02,7.317659351001161161e-01
4.000000000000000000e+00,1.500000000000000000e+01,5.120000000000000000e+02,1.196237044462143961e+00
4.000000000000000000e+00,1.500000000000000000e+01,1.024000000000000000e+03,1.189523110365415137e+00
4.000000000000000000e+00,1.500000000000000000e+01,2.048000000000000000e+03,8.137614058053638244e-01
4.000000000000000000e+00,3.000000000000000000e+01,2.560000000000000000e+02,1.650307555570447837e+00
4.000000000000000000e+00,3.000000000000000000e+01,5.120000000000000000e+02,1.092280858657165510e+00
4.000000000000000000e+00,3.000000000000000000e+01,1.024000000000000000e+03,6.392519572585331211e-01
4.000000000000000000e+00,3.000000000000000000e+01,2.048000000000000000e+03,1.137061786815028785e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.560000000000000000e+02,6.660977346774725749e-01
4.000000000000000000e+00,5.000000000000000000e+01,5.120000000000000000e+02,1.377564368611721823e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.024000000000000000e+03,9.787731136152140188e-01
4.000000000000000000e+00,5.000000000000000000e+01,2.048000000000000000e+03,9.726569241247340347e-01
1.500000000000000000e+01,4.000000000000000000e+00,2.560000000000000000e+02,9.337697234969651872e-01
1.500000000000000000e+01,4.000000000000000000e+00,5.120000000000000000e+02,8.844230500205197965e-01
1.500000000000000000e+01,4.000000000000000000e+00,1.024000000000000000e+03,9.903170479653188307e-01
1.500000000000000000e+01,4.000000000000000000e+00,2.048000000000000000e+03,8.851713498482598474e-01
1.500000000000000000e+01,1.500000000000000000e+01,2.560000000000000000e+02,5.706761211974085146e-01
1.500000000000000000e+01,1.500000000000000000e+01,5.120000000000000000e+02,8.106447719186137268e-01
1.500000000000000000e+01,1.500000000000000000e+01,1.024000000000000000e+03,1.279135618828845633e+00
1.500000000000000000e+01,1.500000000000000000e+01,2.048000000000000000e+03,7.941756221517725089e-01
1.500000000000000000e+01,3.000000000000000000e+01,2.560000000000000000e+02,1.509710016564308477e+00
1.500000000000000000e+01,3.000000000000000000e+01,5.120000000000000000e+02,9.352222306329217583e-01
1.500000000000000000e+01,3.000000000000000000e+01,1.024000000000000000e+03,9.149947777014496575e-01
1.500000000000000000e+01,3.000000000000000000e+01,2.048000000000000000e+03,9.820752855579305551e-01
1.500000000000000000e+01,5.000000000000000000e+01,2.560000000000000000e+02,6.853209633541265111e-01
1.500000000000000000e+01,5.000000000000000000e+01,5.120000000000000000e+02,1.079861819597925265e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.024000000000000000e+03,6.985167928107985924e-01
1.500000000000000000e+01,5.000000000000000000e+01,2.048000000000000000e+03,7.324978321587561902e-01
3.000000000000000000e+01,4.000000000000000000e+00,2.560000000000000000e+02,1.869458955697677505e+00
3.000000000000000000e+01,4.000000000000000000e+00,5.120000000000000000e+02,9.038197292020173634e-01
3.000000000000000000e+01,4.000000000000000000e+00,1.024000000000000000e+03,1.075469366534503202e+00
3.000000000000000000e+01,4.000000000000000000e+00,2.048000000000000000e+03,9.333582356832785809e-01
3.000000000000000000e+01,1.500000000000000000e+01,2.560000000000000000e+02,9.679304078154077340e-01
3.000000000000000000e+01,1.500000000000000000e+01,5.120000000000000000e+02,1.100296810483169629e+00
3.000000000000000000e+01,1.500000000000000000e+01,1.024000000000000000e+03,9.824907714810390269e-01
3.000000000000000000e+01,1.500000000000000000e+01,2.048000000000000000e+03,1.205856496915206799e+00
3.000000000000000000e+01,3.000000000000000000e+01,2.560000000000000000e+02,8.347334285758238881e-01
3.000000000000000000e+01,3.000000000000000000e+01,5.120000000000000000e+02,7.922142986576971024e-01
3.000000000000000000e+01,3.000000000000000000e+01,1.024000000000000000e+03,7.149674871158195888e-01
3.000000000000000000e+01,3.000000000000000000e+01,2.048000000000000000e+03,9.806246780382129602e-01
3.000000000000000000e+01,5.000000000000000000e+01,2.560000000000000000e+02,1.075689292424822474e+00
3.000000000000000000e+01,5.000000000000000000e+01,5.120000000000000000e+02,1.496109715104321891e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.024000000000000000e+03,7.531115803421742916e-01
3.000000000000000000e+01,5.000000000000000000e+01,2.048000000000000000e+03,7.540232956937912290e-01
5.000000000000000000e+01,4.000000000000000000e+00,2.560000000000000000e+02,1.182442646966155753e+00
5.000000000000000000e+01,4.000000000000000000e+00,5.120000000000000000e+02,1.043725394923282979e+00
5.000000000000000000e+01,4.000000000000000000e+00,1.024000000000000000e+03,1.246091343674147423e+00
5.000000000000000000e+01,4.000000000000000000e+00,2.048000000000000000e+03,1.149091239422379784e+00
5.000000000000000000e+01,1.500000000000000000e+01,2.560000000000000000e+02,1.465009100999048020e+00
5.000000000000000000e+01,1.500000000000000000e+01,5.120000000000000000e+02,9.696690550243618478e-01
5.000000000000000000e+01,1.500000000000000000e+01,1.024000000000000000e+03,9.743404989034055719e-01
5.000000000000000000e+01,1.500000000000000000e+01,2.048000000000000000e+03,1.100927192516435671e+00
5.000000000000000000e+01,3.000000000000000000e+01,2.560000000000000000e+02,6.439134024224618669e-01
5.000000000000000000e+01,3.000000000000000000e+01,5.120000000000000000e+02,1.504859068274982725e+00
5.000000000000000000e+01,3.000000000000000000e+01,1.024000000000000000e+03,1.160763609561184406e+00
5.000000000000000000e+01,3.000000000000000000e+01,2.048000000000000000e+03,9.105993951033437561e-01
5.000000000000000000e+01,5.000000000000000000e+01,2.560000000000000000e+02,1.713558550919068502e+00
5.000000000000000000e+01,5.000000000000000000e+01,5.120000000000000000e+02,1.413317534621930660e+00
5.000000000000000000e+01,5.000000000000000000e+01,1.024000000000000000e+03,8.856160581146710342e-01
5.000000000000000000e+01,5.000000000000000000e+01,2.048000000000000000e+03,6.248094096058870450e-01
