# trees_n,samples_min,depth_max Batch,opt_f1_score
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,3.853456770842842438e-01
1.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,5.795278016826093115e-01
1.000000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,6.738781841670820061e-01
1.000000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,7.112811331058838116e-01
1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,3.853456770842842438e-01
1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,5.795278016826093115e-01
1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,6.738781841670820061e-01
1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,7.212705160340864285e-01
2.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,5.387666645161004464e-01
2.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,7.445437299203292447e-01
2.000000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,8.263167921102706481e-01
2.000000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,8.576153854892184514e-01
2.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,5.387666645161004464e-01
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,7.445437299203292447e-01
2.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,8.263167921102706481e-01
2.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,8.644343934511183880e-01
