# trees_n,samples_min,depth_max Batch,opt_f1_score
2.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.268215417106652421e-01
2.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,6.468200270635994231e-01
2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,5.053322395406071310e-01
2.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,4.983660130718954306e-01
2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.983660130718954306e-01
2.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,4.983660130718954306e-01
2.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.299104791995786101e-01
2.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,6.459459459459458985e-01
2.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,5.163398692810456936e-01
2.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,5.117790414297318513e-01
2.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,5.117790414297318513e-01
2.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,5.117790414297318513e-01
2.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.299104791995786101e-01
2.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,6.535326086956521063e-01
2.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,5.463336019339242178e-01
2.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,5.416666666666666297e-01
2.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,5.416666666666666297e-01
2.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,5.416666666666666297e-01
2.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.299104791995786101e-01
2.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,6.597222222222222099e-01
2.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,5.391444713478612538e-01
2.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,5.356856455493183011e-01
2.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,5.356856455493183011e-01
2.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,5.356856455493183011e-01
3.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.299104791995786101e-01
3.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,8.141285466126229053e-01
3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.745876603543065952e-01
3.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,7.640866873065015330e-01
3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,7.640866873065015330e-01
3.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,7.640866873065015330e-01
3.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.348190875721027693e-01
3.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,8.127906976744185830e-01
3.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,7.777777777777777901e-01
3.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,7.691358024691358208e-01
3.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,7.676143386897403831e-01
3.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,7.676143386897403831e-01
3.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.348190875721027693e-01
3.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,8.104347826086957252e-01
3.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,8.025851938895416371e-01
3.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,7.988165680473373609e-01
3.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,7.973933649289099979e-01
3.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,7.973933649289099979e-01
3.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.348190875721027693e-01
3.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,8.134805345729226866e-01
3.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,7.985865724381625563e-01
3.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,7.954949614700651539e-01
3.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,7.947805456702253801e-01
3.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,7.947805456702253801e-01
4.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.348190875721027693e-01
4.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,8.163024217365623114e-01
4.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.900343642611683759e-01
4.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,7.096774193548386345e-01
4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,7.114093959731543348e-01
4.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,7.114093959731543348e-01
4.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.274406332453826396e-01
4.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,8.304297328687572088e-01
4.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,7.027758970886933687e-01
4.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,7.278688524590163356e-01
4.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,7.278688524590163356e-01
4.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,7.270341207349081403e-01
4.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.274406332453826396e-01
4.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,8.297501452643810671e-01
4.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,7.365627073656270118e-01
4.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,7.304116865869855202e-01
4.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,7.287234042553192293e-01
4.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,7.278775781769794007e-01
4.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.274406332453826396e-01
4.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,8.278260869565217117e-01
4.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,7.454780361757106233e-01
4.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,7.424144609425435970e-01
4.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,7.407886231415643508e-01
4.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,7.407886231415643508e-01
5.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.274406332453826396e-01
5.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,7.924970691676435086e-01
5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.945879458794588013e-01
5.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,7.878411910669974594e-01
5.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,7.830423940149625617e-01
5.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,7.830423940149625617e-01
