compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,AtomicNumber_Mean,AtomicNumber_Weighted_Mean,AtomicNumber_Geometric_Mean,AtomicNumber_Weighted_Geometric_Mean,AtomicNumber_Entropy,AtomicNumber_Weighted_Entropy,AtomicNumber_Range,AtomicNumber_Weighted_Range,AtomicNumber_Standard_Deviation,AtomicNumber_Weighted_Standard_Deviation,AtomicMass_Mean,AtomicMass_Weighted_Mean,AtomicMass_Geometric_Mean,AtomicMass_Weighted_Geometric_Mean,AtomicMass_Entropy,AtomicMass_Weighted_Entropy,AtomicMass_Range,AtomicMass_Weighted_Range,AtomicMass_Standard_Deviation,AtomicMass_Weighted_Standard_Deviation,AtomicRadius_Mean,AtomicRadius_Weighted_Mean,AtomicRadius_Geometric_Mean,AtomicRadius_Weighted_Geometric_Mean,AtomicRadius_Entropy,AtomicRadius_Weighted_Entropy,AtomicRadius_Range,AtomicRadius_Weighted_Range,AtomicRadius_Standard_Deviation,AtomicRadius_Weighted_Standard_Deviation,Electronegativity_Mean,Electronegativity_Weighted_Mean,Electronegativity_Geometric_Mean,Electronegativity_Weighted_Geometric_Mean,Electronegativity_Entropy,Electronegativity_Weighted_Entropy,Electronegativity_Range,Electronegativity_Weighted_Range,Electronegativity_Standard_Deviation,Electronegativity_Weighted_Standard_Deviation,material_type,debye_temperature
Mn2Sc4Se8,227,1.90302,56.8447,0.345736,41.8433,1.46419,5.15E-05,26.666666666666668,29.0,26.134412410901312,28.353943303850382,1.0782375765383017,0.8522449738708042,13.0,15.857142857142856,5.436502143433363,35.598096715918935,59.621636,65.81911657142857,57.99302357429135,63.83300319974934,1.0706111701764518,0.8312306291625073,34.015092,37.278,14.276062846071813,81.21031767694672,149.33333333333334,134.42857142857142,145.04195377367157,129.58190069279277,1.0712410718118504,1.0308514882137856,81.0,35.857142857142854,34.081601422990026,157.5689029715999,1.82,2.0671428571428567,1.7517424821147014,1.9845081689053181,1.0592597054189252,0.7999719010897578,1.1899999999999997,1.2357142857142853,0.5219833969262495,2.5683386196734492,Non-Metal,248.911
Ge1Ni2Zn1,225,2.45813,132.159,0.372802,11.9407,2.85205,6.21E-05,30.0,29.5,29.955489548874024,29.454172362340472,1.0971297078373583,1.0557764463247812,4.0,6.5,1.632993161855452,34.44560929929967,65.56766666666665,63.849,65.32043820949953,63.59652623304747,1.0948434185344964,1.06369758872361,13.936999999999998,13.0015,5.691303678029802,74.39600590421504,138.66666666666666,141.25,138.29130511431435,140.8940728553426,1.0959384839919362,1.0182407429680742,24.0,43.25,10.077477638553983,166.54916691475825,1.8566666666666667,1.87,1.8502814278459847,1.8650337016552545,1.0952232031761595,1.0297078413418812,0.3599999999999999,0.5425,0.15173075568988054,2.1980872366673716,Metal,312.156
La6Ru8Sn26,223,2.27079,78.6194,0.329089,120.456,0.689631,4.69E-05,50.333333333333336,49.85,50.05327654536499,49.70525045532928,1.093045290918367,0.8874371419107216,13.0,23.950000000000003,5.312459150169743,60.76030776748913,119.56166666666667,118.21125,118.56117184260856,117.69252576103288,1.0902494851856366,0.8863931738957485,37.83500000000001,56.947500000000005,15.457809425084212,144.1198493715387,172.66666666666666,159.1,171.3723972693194,157.93500322811565,1.091251731597504,0.9565483494276685,50.0,65.0,20.75786330258702,190.57490653283816,1.7533333333333332,1.879,1.6801851647761055,1.8393309781128264,1.0596712248216136,0.817017653874712,1.1,1.109,0.47225228662466234,2.3183058469494484,Metal,230.033
Ga1Pd2Sc1,225,2.28361,110.022,0.383655,12.0123,2.43747,4.98E-05,32.666666666666664,36.0,31.05367046726636,34.25895905657268,1.0491911646937373,0.8976388299944512,25.0,17.75,10.274023338281626,43.7335683428645,73.699636,81.879727,69.35248566598224,77.18845302531423,1.0397767700964933,0.8820070520787777,61.464092,41.971023,25.249671638174995,99.828550240718,163.0,164.5,161.714071666416,163.50556366619938,1.0908857477935716,1.0243739943444405,48.0,50.5,20.049937655763422,193.57814959338774,1.79,1.8925000000000003,1.7560898039906283,1.8578716650275158,1.0799513769730416,0.9659155559993609,0.8400000000000001,0.76,0.3432200460346103,2.260953891613007,Metal,248.895
Ag2I2,129,2.49393,19.9855,0.327095,13.2897,0.562013,0.000149012,50.0,50.0,49.90991885387112,49.90991885387112,0.6913460990017393,0.6913460990017393,6.0,3.0,3.0,35.41892149684968,117.386,117.386,116.99949005017073,116.99949005017072,0.6898563489136582,0.6898563489136582,19.036,9.518,9.518,83.27684348004551,140.0,140.0,137.7497731395591,137.7497731395591,0.6771174676143583,0.6771174676143583,50.0,25.0,25.0,100.56092680559384,2.295,2.295,2.265789045785154,2.2657890457851546,0.6804462349089659,0.6804462349089659,0.7300000000000002,0.3650000000000001,0.3650000000000001,1.6432057083639893,Non-Metal,133.151
As4Co2,58,2.31979,114.486,0.210609,16.7608,8.52199,4.85E-05,30.0,31.0,29.8496231131986,30.864829434305324,0.6881388137135884,0.6024402635203422,6.0,13.0,3.0,23.769728648009426,66.9275,69.59233333333333,66.448312439068,69.1606539728523,0.6859959482075504,0.5950912635899526,15.988999999999997,30.30366666666666,7.994499999999999,53.67217655462754,133.0,126.66666666666666,131.63586137523467,125.47323545799577,0.6829081047004717,0.6730116670092565,38.0,25.333333333333336,19.0,91.34063231175439,2.0300000000000002,2.08,2.0244505427399306,2.075026331499213,0.6904147046754965,0.6119466710742203,0.30000000000000027,0.8266666666666668,0.15000000000000013,1.582684077410552,Metal,444.905
Cu4Ni1Yb1,216,2.26263,76.9393,0.335969,18.4007,1.8199,8.07E-05,42.333333333333336,35.66666666666667,38.44896819984141,33.391916354042976,0.9989274620651378,0.9635794944765284,42.0,14.666666666666666,19.567546828585563,42.47090507368284,98.428,80.98700000000001,86.41938950696353,74.10537447182568,0.964887749213053,0.9619609281298686,114.35199999999999,32.581833333333336,52.79937132832801,96.33839897494435,172.0,158.5,168.64329605487697,156.3754390176322,1.0782603100309762,0.9316058833498181,77.0,71.83333333333333,35.393031329156685,190.92508711242976,1.6366666666666667,1.7683333333333335,1.5863288321837494,1.7360946924488663,1.0698216457078311,0.7826513287297623,0.8099999999999998,1.0833333333333333,0.3795025984393548,2.2059905812229674,Metal,250.133
Pt10Se8,14,2.4657,129.727,0.341654,53.8611,1.33708,4.00E-05,56.0,58.44444444444444,51.49757275833493,53.92882582347761,0.6138600648777941,0.5715401999651947,44.0,28.222222222222225,22.0,45.89252070643018,137.0275,143.47822222222223,124.12082244329515,130.5161673442753,0.6004936712072997,0.5563516055705919,116.113,73.28177777777779,58.0565,113.92150632413748,140.0,144.11111111111111,135.02222039353376,139.14524152305833,0.6578053586934631,0.6250900742439516,74.0,52.555555555555564,37.0,108.46681235620439,2.415,2.3999999999999995,2.411223755689214,2.3962780930311807,0.6915839260811211,0.6916031758694977,0.27,0.13333333333333353,0.135,1.6996731711975943,Metal,245.998
Cr4La4S12,62,2.03712,80.8486,0.265666,57.1027,2.92377,4.68E-05,32.333333333333336,25.800000000000004,27.97276262872347,22.371196323178122,0.9552405274646555,1.0416351739857124,41.0,6.6,17.745108872274887,30.179463215902306,74.32033333333334,57.4162,61.40689111425438,47.34953012140753,0.9131860585045835,1.0270921621896392,106.845,17.381800000000002,46.38782455439023,67.4282658836782,149.66666666666666,125.0,141.75611114314293,117.1434858347952,1.0494938755792276,1.0795509297080108,107.0,19.599999999999994,45.18357617050199,145.03820186419853,1.78,2.1,1.676383945696974,1.991920394562132,1.0401217078475933,0.7527745448060447,1.48,1.328,0.6101365967278694,2.639115003178149,Non-Metal,383.129
La8N4S6,58,1.96606,79.9316,0.272408,52.05,3.15013,3.94E-05,26.666666666666668,32.22222222222222,18.550870460432822,23.41864249290854,0.7765677238514685,0.6331386659467098,50.0,23.77777777777778,21.761331658599286,41.36319112746155,61.657333333333334,75.53488888888889,39.659037976351286,51.17410530882779,0.7142686385950445,0.5729759184881602,124.898,58.62288888888888,55.11732459843175,98.18702458793676,113.0,128.44444444444443,98.68135484601932,113.35489514532287,0.9656453927043998,0.8288701027194203,139.0,74.22222222222221,59.43624034767565,158.1910081570011,2.24,2.0244444444444443,2.0509826738303993,1.8319286654638305,1.022620194132622,1.0730666759344518,1.94,0.37111111111111106,0.8276875416886897,2.352310133244118,Non-Metal,335.046
