AtomicNumber,Symbol,AtomicMass,AtomicRadius,Electronegativity
1,H,1.008,53,2.2
2,He,4.002,31,1.7669696969696973
3,Li,6.941,167,0.98
4,Be,9.012,112,1.57
5,B,10.81,87,2.04
6,C,12.011,67,2.55
7,N,14.007,56,3.04
8,O,15.999,48,3.44
9,F,18.998,42,3.98
10,Ne,20.1797,38,4.5
11,Na,22.99,190,0.93
12,Mg,24.305,145,1.31
13,Al,26.982,118,1.61
14,Si,28.085,111,1.9
15,P,30.974,98,2.19
16,S,32.06,88,2.58
17,Cl,35.45,79,3.16
18,Ar,39.948,71,3.31
19,K,39.098,243,0.82
20,Ca,40.078,194,1
21,Sc,44.955908,184,1.36
22,Ti,47.867,176,1.54
23,V,50.9415,171,1.63
24,Cr,51.996,166,1.66
25,Mn,54.938,161,1.55
26,Fe,55.845,156,1.83
27,Co,58.933,152,1.88
28,Ni,58.693,149,1.91
29,Cu,63.546,145,1.9
30,Zn,65.38,142,1.65
31,Ga,69.723,136,1.81
32,Ge,72.63,125,2.01
33,As,74.922,114,2.18
34,Se,78.971,103,2.55
35,Br,79.904,94,2.96
36,Kr,83.798,88,3
37,Rb,85.468,265,0.82
38,Sr,87.62,219,0.95
39,Y,88.906,212,1.22
40,Zr,91.224,206,1.33
41,Nb,92.906,198,1.6
42,Mo,95.95,190,2.16
43,Tc,98,183,1.9
44,Ru,101.07,178,2.2
45,Rh,102.906,173,2.28
46,Pd,106.42,169,2.2
47,Ag,107.868,165,1.93
48,Cd,112.411,161,1.69
49,In,114.818,156,1.78
50,Sn,118.71,145,1.96
51,Sb,121.76,133,2.05
52,Te,127.6,123,2.1
53,I,126.904,115,2.66
54,Xe,131.293,108,2.6
55,Cs,132.905,298,0.79
56,Ba,137.327,253,0.89
57,La,138.905,195,1.1
58,Ce,140.116,185,1.12
59,Pr,140.908,247,1.13
60,Nd,144.242,206,1.14
61,Pm,145,205,1.13
62,Sm,150.36,238,1.17
63,Eu,151.964,231,1.7669696969696973
64,Gd,157.25,233,1.2
65,Tb,158.925,225,1.2
66,Dy,162.5,228,1.22
67,Ho,164.93,226,1.23
68,Er,167.259,226,1.24
69,Tm,168.934,222,1.25
70,Yb,173.045,222,1.1
71,Lu,174.967,217,1.27
72,Hf,178.49,208,1.3
73,Ta,180.948,200,1.5
74,W,183.84,193,2.36
75,Re,186.207,188,1.9
76,Os,190.23,185,2.2
77,Ir,192.217,180,2.2
78,Pt,195.084,177,2.28
79,Au,196.967,174,2.54
80,Hg,200.592,171,2
81,Tl,204.38,156,2.04
82,Pb,207.2,154,2.33
83,Bi,208.98,143,2.02
84,Po,209,135,2
85,At,210,127,2.2
86,Rn,222,120,1.7669696969696973
87,Fr,223,162.09574468085106,0.7
88,Ra,226,215,0.9
89,Ac,227,195,1.1
90,Th,232.038,180,1.3
91,Pa,231.036,180,1.5
92,U,238.029,175,1.38
93,Np,237,175,1.36
94,Pu,244,175,1.28
95,Am,243,175,1.3
96,Cm,247,162.09574468085106,1.3
97,Bk,247,162.09574468085106,1.3
98,Cf,251,162.09574468085106,1.3
99,Es,252,162.09574468085106,1.3
100,Fm,257,162.09574468085106,1.3
101,Md,258,162.09574468085106,1.3
102,No,259,162.09574468085106,1.3
103,Lr,262,162.09574468085106,1.7669696969696973
104,Rf,267,162.09574468085106,1.7669696969696973
105,Db,270,162.09574468085106,1.7669696969696973
106,Sg,269,162.09574468085106,1.7669696969696973
107,Bh,270,162.09574468085106,1.7669696969696973
108,Hs,269,162.09574468085106,1.7669696969696973
109,Mt,278,162.09574468085106,1.7669696969696973
110,Ds,281,162.09574468085106,1.7669696969696973
111,Rg,281,162.09574468085106,1.7669696969696973
112,Cn,285,162.09574468085106,1.7669696969696973
113,Nh,286,162.09574468085106,1.7669696969696973
114,Fl,289,162.09574468085106,1.7669696969696973
115,Mc,289,162.09574468085106,1.7669696969696973
116,Lv,293,162.09574468085106,1.7669696969696973
117,Ts,293,162.09574468085106,1.7669696969696973
118,Og,294,162.09574468085106,1.7669696969696973
