compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
Mn2Sc4Se8,227,1.90302,56.8447,0.345736,41.8433,1.46419,5.15E-05,Non-Metal,248.911
Ge1Ni2Zn1,225,2.45813,132.159,0.372802,11.9407,2.85205,6.21E-05,Metal,312.156
La6Ru8Sn26,223,2.27079,78.6194,0.329089,120.456,0.689631,4.69E-05,Metal,230.033
Ga1Pd2Sc1,225,2.28361,110.022,0.383655,12.0123,2.43747,4.98E-05,Metal,248.895
Ag2I2,129,2.49393,19.9855,0.327095,13.2897,0.562013,0.000149012,Non-Metal,133.151
As4Co2,58,2.31979,114.486,0.210609,16.7608,8.52199,4.85E-05,Metal,444.905
Cu4Ni1Yb1,216,2.26263,76.9393,0.335969,18.4007,1.8199,8.07E-05,Metal,250.133
Pt10Se8,14,2.4657,129.727,0.341654,53.8611,1.33708,4.00E-05,Metal,245.998
Cr4La4S12,62,2.03712,80.8486,0.265666,57.1027,2.92377,4.68E-05,Non-Metal,383.129
La8N4S6,58,1.96606,79.9316,0.272408,52.05,3.15013,3.94E-05,Non-Metal,335.046
Cs3In9,119,2.57809,15.0015,0.249797,41.4413,0.36912,0.000194347,Metal,148.99
Re4S4Te4,216,2.14379,121.89,0.247987,34.4004,5.67341,3.07E-05,Non-Metal,347.976
Cu4Sb4Se8,62,2.16354,52.6009,0.280119,48.4292,1.39627,6.64E-05,Non-Metal,255.048
Ag1Zr2,139,1.9271,90.8162,0.337855,8.88198,6.13645,3.89E-05,Metal,258.016
Nb2P2,141,1.96896,159.958,0.286052,10.8413,16.883,2.77E-05,Metal,469.053
Ca1S1,225,1.93521,52.2683,0.222083,5.6097,14.7572,5.85E-05,Non-Metal,436.099
Ca4Ge4Ni6,51,1.87681,73.2013,0.259377,40.4149,3.49629,5.30E-05,Metal,358.008
Cu1Hf1Hg2,216,2.50532,92.7529,0.426147,12.4233,0.638006,5.85E-05,Metal,134.009
Ga4Ho2Pd2,63,2.27119,88.0087,0.293613,23.9287,2.78277,5.52E-05,Metal,277.089
Ca2Ga4,194,2.2556,40.8836,0.165724,18.1104,3.93579,9.84E-05,Metal,341.195
Cd2Er4Ge4,127,2.05652,70.9255,0.239841,29.8026,3.36541,5.21E-05,Metal,269.963
S6Zn6,186,1.99227,63.2638,0.285296,35.0248,2.72643,6.21E-05,Non-Metal,348.987
Ge8,194,2.26676,52.905,0.199588,23.7605,3.63824,6.96E-05,Metal,329.987
Ho12Ru4,62,1.72595,67.5491,0.307572,47.9238,2.00312,3.97E-05,Metal,201.985
Si2Th1,191,2.09872,94.7866,0.366404,8.95909,4.01412,4.11E-05,Metal,239.049
Pb3Yb1,221,2.02566,33.9764,0.206234,12.4061,2.73178,7.88E-05,Metal,165.058
Bi2Er6Mn1,189,1.8344,57.5533,0.243598,27.0516,3.3333,4.71E-05,Metal,212.024
F9Y3,221,2.10577,105.986,0.280124,32.8233,4.35946,5.47E-05,Non-Metal,489.191
Li2Se1,225,1.80341,28.4901,0.184126,9.00216,6.36615,0.00013173,Non-Metal,369.733
As8Ga8,205,2.24948,56.7869,0.223119,47.6524,2.11284,7.06E-05,Metal,323.009
Ir8Zr16,227,1.856,145.959,0.400688,71.151,1.26678,2.51E-05,Metal,217.967
As2Ba2Cu2,194,2.15515,44.1335,0.226684,18.238,3.06018,7.45E-05,Metal,257.911
Ag2Dy2Sn2,186,2.24595,61.9469,0.259056,18.1877,2.99707,5.93E-05,Metal,236.943
Ce1Tl3,221,2.47198,47.1567,0.326054,12.5671,1.17159,7.79E-05,Metal,148.013
C1Sn1,225,2.44261,108.846,0.211036,5.6342,14.5718,5.65E-05,Metal,444.036
Er1Hg2,191,2.56895,58.2491,0.308195,9.39513,1.9066,7.50E-05,Metal,169.928
Cu36Ga16,215,2.51039,93.8441,0.300333,156.13,0.657801,7.96E-05,Metal,336.837
Ga3Ni5,65,2.2892,146.986,0.340831,23.1547,3.28898,5.09E-05,Metal,364.91
As1Rh2,225,2.42106,178.483,0.331755,8.6242,8.29395,3.35E-05,Metal,353.018
Cr3N1Pt1,221,2.56492,106.154,0.297193,14.8126,3.6728,6.45E-05,Metal,343.932
La3Sn7,65,2.13883,49.4504,0.297885,30.4818,1.48385,5.85E-05,Metal,200.961
Cr2N6Sr6,176,1.942,78.631,0.246211,39.3626,4.60048,4.66E-05,Metal,415.14
Cu2Nb8Si2,124,1.90483,174.192,0.295661,33.0673,8.36711,2.46E-05,Metal,429.069
Sc4Te4,194,2.03341,57.9457,0.295996,23.929,2.67267,5.27E-05,Metal,257.043
Pd1Zr2,139,1.9703,116.175,0.333095,8.76271,8.32751,3.30E-05,Metal,292.978
Mo2P4,36,2.10328,174.311,0.201999,14.8336,22.4828,2.68E-05,Metal,631.054
Bi2Ho6Rh1,189,1.83256,59.6165,0.316156,27.2173,2.03229,4.52E-05,Metal,178.031
Rh1Y1,221,2.01561,103.5,0.337377,5.89961,8.35667,3.82E-05,Metal,272.937
Co4Er4Ga4,62,1.97636,97.5461,0.356217,35.9224,1.71742,4.79E-05,Metal,238.997
C3N4,215,1.98054,370.163,0.134291,5.82025,89.9282,9.96E-06,Non-Metal,1741.61
O4,194,2.11692,95.6726,0.331928,10.3688,6.85764,6.28E-05,Metal,593.895
Al2Cu2O4,194,2.0182,161.756,0.303962,20.455,8.57476,4.13E-05,Non-Metal,590.863
B28,58,1.63537,230.155,0.109125,26.7431,37.9524,1.29E-05,Non-Metal,1622.02
Au2Ta6,223,1.97953,182.136,0.35985,23.6139,4.16073,2.37E-05,Metal,236.002
Al3La1Pd2,191,2.11533,95.6724,0.293033,17.401,5.23183,4.52E-05,Metal,342.065
C1In1La3,221,1.77678,53.2054,0.249857,14.8621,5.83217,4.51E-05,Metal,249.041
Al4Se8Sr2,66,1.9761,47.5657,0.247252,41.4102,2.49112,5.89E-05,Non-Metal,303.889
Ge6Rh10,55,2.38463,183.586,0.339778,46.0996,2.60458,3.49E-05,Metal,349.966
C1Er1Rh3,221,2.18476,191.575,0.325772,14.2794,7.84537,3.07E-05,Metal,359.071
Ga4La4Pt4,62,2.16219,88.0397,0.383568,36.4178,0.929383,4.52E-05,Metal,182.066
Rh4Sb12,204,2.33833,80.2701,0.255802,47.4296,2.2737,4.49E-05,Metal,285.094
Co8Ge26Lu6,223,2.15844,98.8313,0.248963,116.257,1.69309,5.12E-05,Metal,349.038
Nb2Pt2,51,2.21113,214.055,0.326564,11.5433,9.63607,2.44E-05,Metal,319.006
F12Na4Zn4,62,2.08201,70.3103,0.292714,57.7356,1.66288,9.35E-05,Non-Metal,430.305
Ca8H4N4,227,1.8937,62.7228,0.21215,42.1021,4.85686,6.41E-05,Non-Metal,562.883
Mn2Te2,194,1.99584,44.7054,0.329182,12.2445,2.37687,6.92E-05,Metal,204.976
Dy2S4,129,1.91022,86.5329,0.285243,17.4299,6.01284,4.35E-05,Metal,325.982
Ba1O3Pu1,221,1.99449,111.933,0.296076,14.4916,7.02168,4.04E-05,Metal,331.063
Ir4Zr12,121,1.79892,131.261,0.419016,47.7126,1.15839,2.66E-05,Metal,192.977
Au2Nb1,191,2.49906,153.268,0.341335,8.95419,4.78683,3.70E-05,Metal,246.967
Ni3P3W3,189,2.16591,244.937,0.356585,25.534,5.2733,2.73E-05,Metal,370.033
Ir4Si4Ta4,62,2.08377,248.928,0.284016,33.5381,8.97583,2.13E-05,Metal,395.062
B8Fe4,62,1.88658,304.562,0.196399,21.0437,31.7093,2.05E-05,Non-Metal,1049.89
La1S1,221,2.06495,72.3855,0.280512,5.90119,9.21122,4.75E-05,Metal,293.064
Br1K3O1,221,2.13584,14.7064,0.231255,16.5417,1.29405,0.000196902,Non-Metal,235.057
Ga2P2,186,2.14423,69.1928,0.234218,11.3802,8.29456,5.59E-05,Non-Metal,410.018
Au4In8Na12,227,2.46855,20.7923,0.344193,81.3348,0.158287,0.00018131,Metal,148.82
Al1Pt3,221,2.52683,204.916,0.36278,11.8519,4.24404,3.32E-05,Metal,264.991
Li3Sb1,225,1.793,27.205,0.186567,12.2269,4.4981,0.000143101,Non-Metal,335.039
Ba2Be4N4,140,1.82395,99.2502,0.239596,26.633,8.3683,4.73E-05,Non-Metal,521.929
Ba1Fe1O3,221,2.32479,107.731,0.246336,13.9459,7.22743,5.99E-05,Metal,466.137
Cl16Hg12O4,198,2.37984,36.9031,0.314874,100.885,0.354789,9.62E-05,Non-Metal,193.023
Sb1Tl1,216,2.41525,24.7873,0.298954,6.40724,1.47991,0.00010309,Metal,136.075
Dy2Pd2Sb2,194,2.21654,86.4798,0.337375,18.0757,2.45128,4.52E-05,Metal,221.031
Cd2Cu2F8,140,2.25246,86.1591,0.331588,35.4375,1.73266,7.82E-05,Non-Metal,361.128
Au2O4Sc2,194,2.14139,122.147,0.357762,23.49,2.75783,4.68E-05,Non-Metal,310.975
Pb4Sr8,62,1.95121,21.6838,0.262276,37.5177,0.813002,9.18E-05,Metal,153.993
Ag1In5Te8,111,2.29195,31.0211,0.269902,43.6899,0.817938,8.24E-05,Non-Metal,183.974
Mn2Si2Y1,139,2.21015,75.1781,0.204249,14.0666,8.16405,5.88E-05,Metal,442.203
Al40V4,227,2.02893,78.0807,0.299897,121.41,1.54549,5.50E-05,Metal,469.962
F3Na1V1,221,2.16182,58.0956,0.332561,14.8009,2.63938,9.75E-05,Non-Metal,382.929
La4Sb2,139,1.9225,48.8761,0.263794,18.0453,3.53311,4.69E-05,Metal,213.992
P1Sn1,225,2.25501,64.7176,0.274681,5.95802,7.19408,6.07E-05,Metal,302.127
C1Ce1,225,1.79392,135.111,0.264698,5.55038,28.801,2.86E-05,Metal,416.023
B1In1Sc3,221,1.84396,71.7317,0.210017,13.9339,11.883,4.44E-05,Metal,428.977
Pt1Sb1Tb1,216,2.22735,92.5655,0.297769,8.97759,5.66714,4.00E-05,Non-Metal,234.017
B1C7,115,1.75439,368.679,0.0816762,5.02607,145.22,6.69E-06,Metal,1993.74
Fe4Si4Ta4,62,2.03343,159.749,0.272842,33.6724,6.57721,3.25E-05,Metal,401.963
Hf3Rh3Sn3,189,2.18908,142.309,0.353011,26.6263,2.84684,3.21E-05,Metal,254.946
B4Nb6,127,1.79804,228.101,0.208687,24.2652,26.7366,2.00E-05,Metal,649.968
O3Re1,221,2.16789,221.442,0.273905,10.2703,21.7342,2.47E-05,Metal,567.933
Er3Pd3Sn3,189,2.25729,86.0215,0.330367,27.1662,1.82966,4.81E-05,Metal,223.078
Hf2Si4,63,1.98471,129.094,0.210283,16.5071,13.8866,3.46E-05,Metal,446.898
C4Os8Zr16,227,1.92642,179.606,0.312481,79.5689,3.71596,2.36E-05,Metal,354.004
Ag2In1Y1,225,2.38541,59.6959,0.377565,12.4601,1.15397,7.53E-05,Metal,178.898
P4,221,2.63837,100.494,0.206588,2.5876,24.2209,6.00E-05,Metal,609.852
Ge4Ir4Mn12,198,1.96636,99.6524,0.312061,58.817,2.16236,4.85E-05,Metal,302.99
B2Mg16Rh8,227,1.96104,80.2373,0.333632,75.7622,1.44628,5.44E-05,Metal,339.045
Hf4P4,194,1.90719,141.901,0.261897,22.6751,9.63376,2.85E-05,Metal,368.051
N4Ni8Ta16,227,1.98652,229.583,0.289217,78.5184,4.82,2.32E-05,Metal,387.94
O8Pt6,223,2.39896,196.029,0.375487,41.0076,1.8683,3.74E-05,Metal,308.031
Ga4Ir4Y4,62,2.06662,118.21,0.391561,35.957,1.32207,3.69E-05,Metal,211.011
S12Y8,62,1.90211,80.7229,0.276625,56.7773,3.30379,4.11E-05,Non-Metal,383.095
Hf4Pt12,194,2.3427,216.102,0.304153,46.6247,3.58083,2.64E-05,Metal,296.949
Al36Mg6Mn4,227,1.93488,58.0797,0.329453,133.636,0.845425,7.28E-05,Metal,375.124
In1P1Pt5,123,2.50564,189.65,0.365111,20.8276,2.67249,3.34E-05,Metal,250.033
C1Zr1,216,1.72309,140.199,0.402931,5.76733,9.29651,2.88E-05,Non-Metal,316.951
Ir1N1,216,2.20806,241.461,0.446302,5.97993,2.76067,3.00E-05,Metal,208.042
Co4Sn4Tb4,62,2.0575,67.8785,0.247776,35.7896,2.79122,5.26E-05,Metal,268.093
Cd6Ho2,63,2.31144,48.1701,0.294604,24.8987,1.28213,8.16E-05,Metal,197.01
Zr2,194,1.56414,91.5254,0.331246,5.83859,14.7003,2.88E-05,Metal,273.949
C6Si6,186,1.85189,201.321,0.158993,19.8565,34.5239,1.94E-05,Non-Metal,1109.75
Na1O3W1,221,2.10753,193.02,0.292242,13.1599,13.6807,3.17E-05,Metal,531.866
C2Cu1Rb1,123,1.87179,46.6265,0.300298,11.7725,4.80304,6.20E-05,Non-Metal,319.094
Co4Sb12,204,2.32667,72.8706,0.211598,47.335,2.60437,5.31E-05,Non-Metal,309.955
La1Te1,221,2.06564,52.5083,0.245931,6.0209,7.41475,5.05E-05,Metal,228.063
Li2Pd1Sb1,216,2.25037,55.2415,0.346477,12.4471,1.72066,9.97E-05,Metal,242.832
Ge4Rh8,62,2.53991,186.142,0.337122,34.6424,2.8744,3.72E-05,Metal,353.992
Ge4Pt4Y4,62,2.22671,114.782,0.299716,35.3414,2.96414,3.92E-05,Metal,289.015
Ru4Si4Ti4,62,2.04501,187.699,0.289358,31.8679,8.77734,2.62E-05,Metal,508.049
F14Sr4Zn3,157,2.14163,71.2109,0.305367,61.7361,1.38888,8.24E-05,Non-Metal,372.737
B2Ge6Ta10,193,2.00577,193.761,0.2674,50.7565,6.25204,2.51E-05,Metal,378.054
Te2V2,194,2.15901,52.011,0.266917,12.1082,3.95089,6.79E-05,Non-Metal,261.031
Al1Ba1Si1,187,2.12484,44.4517,0.194107,8.84819,7.98932,6.69E-05,Metal,336.952
In3Zr1,139,2.28495,69.2097,0.233061,11.9565,5.45224,5.75E-05,Metal,286.033
Ru8Sc4,194,2.70991,144.608,0.388352,35.8223,1.16162,4.46E-05,Metal,280.063
Al6Hf2,139,1.90758,99.7348,0.199504,22.094,10.4611,4.11E-05,Metal,445.946
Mg4Se8,205,2.01111,51.1948,0.259456,35.6195,2.44329,6.65E-05,Non-Metal,308.979
Cu4In1Tb1,216,2.28518,83.3949,0.285601,18.025,3.18707,6.72E-05,Metal,291.902
Gd2O8V2,141,1.96157,148.201,0.327495,32.8037,5.37694,3.40E-05,Non-Metal,459.076
As1U1,221,2.11524,69.8165,0.441703,6.16291,0.781781,5.19E-05,Metal,107.017
B4Mo4Nb2,127,1.90261,261.656,0.246154,24.6108,21.3483,2.00E-05,Metal,628.89
Al1N1,225,1.89692,237.673,0.170354,3.26969,106.722,2.06E-05,Non-Metal,1122.12
Au2Ge2Tb2,186,2.26754,83.9742,0.285268,18.0715,3.20744,5.06E-05,Metal,239.919
Al1Cr1Cu2,225,2.18396,88.2819,0.33807,11.8603,3.62766,6.83E-05,Metal,326.946
La1Pt5,191,2.46847,163.472,0.330136,17.8206,3.7594,3.19E-05,Metal,249.924
Li2Ru2Sn8,140,2.37293,67.8597,0.237555,35.9704,2.32989,6.31E-05,Metal,295.085
Dy2Tl2Zn2,194,2.28544,55.3971,0.216553,18.3747,3.03407,7.16E-05,Metal,234.093
As2Hg2K2,194,2.33893,24.5191,0.260318,19.3069,1.04089,0.00012334,Metal,179.144
Hg1Li1,221,2.36595,23.479,0.289878,6.88486,1.19085,0.00021634,Metal,157.201
O3Rb1U1,221,1.98516,124.196,0.276989,14.1076,10.1735,3.55E-05,Non-Metal,391.977
Al14Th4,55,1.99122,80.5508,0.249011,51.8293,3.38768,4.46E-05,Metal,356.015
Al1Ru1,221,2.04804,193.009,0.293486,5.39484,25.7684,2.86E-05,Metal,481.068
Pt3V1,221,2.56987,192.429,0.306765,11.7445,6.02183,3.41E-05,Metal,297.056
Mn4Te8Zn2,227,2.10479,37.6207,0.415651,43.7951,0.234734,7.94E-05,Metal,126.006
Rh4Sb8,14,2.35384,99.0808,0.26925,35.3161,3.04865,4.17E-05,Metal,302.028
